,Unnamed: 0,AB,Age,BB,from,G,H,HR,OPS,PA,R,SB,SO,to,WAR,experience,names,Zero,Year_difference
12462,12462,9,28.232,2,2000,8,3,3,1.788,11,3,0,2,2001,0.2,2,Keith McDonald,0,1
12465,12465,37,24.099,2,2000,21,0,0,0.051,44,1,0,16,2001,-0.4,2,Tony McKnight,0,1
12479,12479,5,26.066,0,2001,5,1,0,0.4,5,0,0,1,2001,-0.1,1,Bill Ortega,0,0
12480,12480,0,25.276999999999997,0,2001,0,0,0,,0,0,0,0,2001,0.0,1,Christian Parker,0,0
12482,12482,49,25.022,7,2000,25,12,0,0.6509999999999999,58,6,3,7,2001,0.2,2,Elvis Pena,0,1
12484,12484,133,25.183000000000003,23,2000,67,25,0,0.519,160,21,9,38,2001,-0.5,2,Santiago Perez,0,1
12488,12488,0,24.011999999999997,0,2001,11,0,0,,0,0,0,0,2001,0.0,1,Chris Piersoll,0,0
12494,12494,36,25.241,2,2000,27,7,1,0.515,50,4,0,9,2001,0.2,2,Paul Rigdon,0,1
12497,12497,0,22.198,0,2001,2,0,0,,0,0,0,0,2001,0.0,1,Wilfredo Rodriguez,0,0
12504,12504,0,24.298000000000002,0,2001,1,0,0,,0,0,0,0,2001,0.0,1,Pedro Santana,0,0
12506,12506,10,25.076,1,2000,25,1,0,0.382,11,1,1,4,2001,-0.1,2,Luis Saturria,0,1
12509,12509,0,28.153000000000002,0,2000,7,0,0,,0,0,0,0,2001,0.0,2,Chris Seelbach,0,1
12511,12511,9,23.125,0,2001,20,1,0,0.222,11,0,0,4,2001,0.0,1,Wascar Serrano,0,0
12518,12518,66,31.276,1,2000,33,9,0,0.28600000000000003,70,3,0,27,2001,-0.1,2,Chuck Smith,0,1
12519,12519,0,23.346,0,2001,1,0,0,,0,0,0,0,2001,0.0,1,Scott Sobkowiak,0,0
12523,12523,2,38.238,0,2000,21,0,0,0.0,2,0,0,2,2001,0.0,2,Joe Strong,0,1
12532,12532,0,26.212,0,2001,2,0,0,,0,0,0,0,2001,0.0,1,Ken Vining,0,0
12533,12533,36,27.113000000000003,0,2001,10,9,2,0.722,36,5,0,13,2001,0.5,1,Chris Wakeland,0,0
12544,12544,174,26.089000000000002,10,2000,79,43,9,0.774,191,24,0,51,2001,-0.2,2,Julio Zuleta,0,1
12546,12546,115,29.108,6,2000,51,31,6,0.758,121,15,1,26,2002,-0.4,3,Israel Alcantara,0,2
12555,12555,0,24.252,0,2000,0,0,0,,0,0,0,0,2002,0.0,3,Lorenzo Barcelo,0,2
12556,12556,0,22.308000000000003,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Steve Bechler,0,0
12557,12557,5,28.27,0,2000,15,2,0,0.8,6,1,0,0,2002,0.3,3,Kevin Beirne,0,2
12561,12561,0,28.305,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Jason Beverlin,0,0
12568,12568,175,26.241,4,2000,87,36,2,0.525,186,13,0,31,2002,-0.5,3,Javier Cardona,0,2
12570,12570,0,24.28,0,2001,10,0,0,,0,0,0,0,2002,0.0,2,Scott Chiasson,0,1
12572,12572,0,24.218000000000004,0,2000,0,0,0,,0,0,0,0,2002,0.0,3,Pasqual Coco,0,2
12573,12573,48,25.302,3,2000,57,2,0,0.161,55,1,0,23,2002,-0.2,3,Dave Coggin,0,2
12576,12576,82,30.031999999999996,6,2001,44,15,2,0.585,91,10,0,19,2002,-0.3,2,Mike Coolbaugh,0,1
12579,12579,1,23.141,0,2002,4,0,0,0.0,1,0,0,1,2002,0.0,1,Eric Cyr,0,0
12581,12581,0,24.272,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Luis de los Santos,0,0
12582,12582,114,26.075,5,2000,102,22,2,0.532,121,20,4,45,2002,0.0,2,Kory DeHaan,0,2
12585,12585,0,24.24,0,2000,6,0,0,,0,0,0,0,2002,0.0,3,Matt DeWitt,0,2
12586,12586,7,28.124000000000002,1,2002,4,2,1,1.232,8,2,0,2,2002,0.1,1,Juan Diaz,0,0
12587,12587,7,23.105,0,2002,5,1,0,0.28600000000000003,8,0,0,1,2002,0.0,1,Ben Diggins,0,0
12589,12589,0,27.311,0,2002,7,0,0,,0,0,0,0,2002,0.0,1,Matt Duff,0,0
12590,12590,3,27.235,2,2001,37,0,0,0.4,5,1,0,1,2002,0.1,2,Courtney Duncan,0,1
12594,12594,69,26.201999999999998,7,2001,23,14,0,0.494,76,3,2,17,2002,-0.5,2,Mario Encarnacion,0,1
12596,12596,0,26.357,0,2002,2,0,0,,0,0,0,0,2002,0.0,1,Jeff Farnsworth,0,0
12598,12598,0,27.125999999999998,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Brian Fitzgerald,0,0
12603,12603,3,26.25,0,2002,6,1,0,0.667,3,0,0,1,2002,0.1,1,Luis Garcia,0,0
12607,12607,15,25.024,2,2002,10,4,0,0.82,17,2,0,7,2002,0.1,1,Jason Hart,0,0
12612,12612,2,25.173000000000002,0,2002,19,0,0,0.0,2,0,0,0,2002,0.0,1,Hansel Izquierdo,0,0
12614,12614,0,24.269000000000002,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Delvin James,0,0
12617,12617,0,26.261,0,2002,2,0,0,,0,0,0,0,2002,0.0,1,Jason Jimenez,0,0
12620,12620,0,26.024,0,2002,11,0,0,,0,0,0,0,2002,0.0,1,Kevin Joseph,0,0
12622,12622,0,25.340999999999998,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Justin Kaye,0,0
12623,12623,0,24.084,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Kris Keller,0,0
12624,12624,0,23.354,0,2002,2,0,0,,0,0,0,0,2002,0.0,1,Steven Kent,0,0
12627,12627,1,36.361,1,2002,22,0,0,0.5,3,0,0,1,2002,0.1,1,Satoru Komiyama,0,0
12628,12628,0,22.043000000000003,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Ben Kozlowski,0,0
12631,12631,150,25.159000000000002,16,2002,55,27,2,0.508,174,16,2,38,2002,-1.1,1,Joe Lawrence,0,0
12635,12635,0,29.205,0,2001,1,0,0,,0,0,0,0,2002,0.0,2,Mark Lukasiewicz,0,1
12636,12636,237,24.320999999999998,10,2000,97,53,0,0.532,257,13,0,51,2002,-0.2,3,Fernando Lunar,0,2
12641,12641,0,27.06,0,2000,29,0,0,,0,0,0,0,2002,0.0,2,Oswaldo Mairena,0,2
12642,12642,0,27.124000000000002,0,2002,5,0,0,,0,0,0,0,2002,0.0,1,Brian Mallette,0,0
12645,12645,25,27.121,4,2001,15,5,0,0.58,31,3,1,7,2002,-0.3,2,Donzell McDonald,0,1
12648,12648,0,27.245,0,2001,0,0,0,,0,0,0,0,2002,0.0,2,Matt Miller,0,1
12652,12652,0,27.046999999999997,0,2001,6,0,0,,0,0,0,0,2002,0.0,2,Juan Moreno,0,1
12654,12654,16,28.057,0,2002,8,3,0,0.43799999999999994,16,0,0,2,2002,-0.1,1,Mike Moriarty,0,0
12656,12656,34,28.169,4,2002,25,9,0,0.695,39,6,1,1,2002,0.0,1,Bry Nelson,0,0
