hour, t(sec), S1 (kVA), Ang1
538, 0.00000, 0.354641, 25.8391
539, 0.00000, 0.427672, 25.8401
540, 0.00000, 0.454454, 25.8383
541, 0.00000, 0.42664, 25.8379
542, 0.00000, 0.35194, 25.8378
543, 0.00000, 0.249285, 25.8389
544, 0.00000, 0.145917, 25.8403
545, 0.00000, 0.0697935, 25.8413
546, 0.00000, 0.0418342, 25.8415
547, 0.00000, 0.0419221, 25.8415
548, 0.00000, 0.0464029, 25.8415
549, 0.00000, 0.0783448, 25.8412
550, 0.00000, 0.164706, 25.8406
551, 0.00000, 0.2775, 25.84
552, 0.00000, 0.331467, 25.8392
553, 0.00000, 0.277499, 25.8389
554, 0.00000, 0.0418661, 25.8415
555, 0.00000, 0.0463341, 25.8415
556, 0.00000, 0.0781488, 25.8413
557, 0.00000, 0.163838, 25.8416
558, 0.00000, 0.275031, 25.8428
559, 0.00000, 0.327937, 25.8409
560, 0.00000, 0.275027, 25.8376
561, 0.00000, 0.164911, 25.8397
562, 0.00000, 0.0785338, 25.8413
563, 0.00000, 0.0465612, 25.8415
564, 0.00000, 0.0420974, 25.8415
565, 0.00000, 0.0420294, 25.8415
566, 0.00000, 0.0702931, 25.8415
567, 0.00000, 0.148488, 25.8436
568, 0.00000, 0.253113, 25.8379
569, 0.00000, 0.354641, 25.8391
570, 0.00000, 0.427672, 25.8401
571, 0.00000, 0.454454, 25.8383
572, 0.00000, 0.42664, 25.8379
573, 0.00000, 0.35194, 25.8378
574, 0.00000, 0.249285, 25.8389
575, 0.00000, 0.145917, 25.8403
576, 0.00000, 0.0697935, 25.8413
577, 0.00000, 0.0418342, 25.8415
578, 0.00000, 0.0419221, 25.8415
579, 0.00000, 0.0464029, 25.8415
580, 0.00000, 0.0783448, 25.8412
581, 0.00000, 0.164706, 25.8406
582, 0.00000, 0.2775, 25.84
583, 0.00000, 0.331467, 25.8392
584, 0.00000, 0.277499, 25.8389
585, 0.00000, 0.164911, 25.8401
586, 0.00000, 0.0785338, 25.8413
587, 0.00000, 0.0465612, 25.8415
588, 0.00000, 0.0420974, 25.8415
589, 0.00000, 0.0420294, 25.8415
590, 0.00000, 0.0705963, 25.8424
591, 0.00000, 0.14867, 25.8426
592, 0.00000, 0.253113, 25.8375
593, 0.00000, 0.354641, 25.8391
594, 0.00000, 0.427672, 25.8401
595, 0.00000, 0.454454, 25.8383
596, 0.00000, 0.42664, 25.8379
597, 0.00000, 0.35194, 25.8378
598, 0.00000, 0.249285, 25.8389
599, 0.00000, 0.145917, 25.8403
600, 0.00000, 0.0697935, 25.8413
601, 0.00000, 0.0418342, 25.8415
602, 0.00000, 0.0419221, 25.8415
603, 0.00000, 0.0464029, 25.8415
604, 0.00000, 0.0783448, 25.8412
605, 0.00000, 0.164706, 25.8406
606, 0.00000, 0.2775, 25.84
607, 0.00000, 0.331467, 25.8392
608, 0.00000, 0.277499, 25.8389
609, 0.00000, 0.164911, 25.8401
610, 0.00000, 0.0785338, 25.8413
611, 0.00000, 0.0465612, 25.8415
612, 0.00000, 0.0420974, 25.8415
613, 0.00000, 0.0420294, 25.8415
614, 0.00000, 0.0704631, 25.8418
615, 0.00000, 0.14837, 25.8424
616, 0.00000, 0.253113, 25.8382
617, 0.00000, 0.354641, 25.8391
618, 0.00000, 0.427672, 25.8401
619, 0.00000, 0.454454, 25.8383
620, 0.00000, 0.42664, 25.8379
621, 0.00000, 0.35194, 25.8378
622, 0.00000, 0.249285, 25.8389
