hour, t(sec), P1 (kW), Q1 (kvar)
404, 0.00000, -0.1697, -0.0821959
405, 0.00000, -0.357127, -0.17298
406, 0.00000, -0.464847, -0.225156
407, 0.00000, -0.527684, -0.255594
408, 0.00000, -0.559353, -0.261565
409, 0.00000, -0.922095, -0.372711
410, 0.00000, -0.717211, -0.29832
411, 0.00000, -0.0377117, 0.000240988
412, 0.00000, 0.462125, 0.223825
413, 0.00000, 0.658698, 0.319011
414, 0.00000, 0.767237, 0.371563
415, 0.00000, 0.633011, 0.306552
416, 0.00000, 0.448472, 0.21719
417, 0.00000, 0.262568, 0.127164
418, 0.00000, 0.125609, 0.0608346
419, 0.00000, 0.0752948, 0.0364666
420, 0.00000, 0.075453, 0.0365433
421, 0.00000, 0.0835168, 0.0404487
422, 0.00000, 0.140997, 0.0682869
423, 0.00000, 0.296364, 0.143532
424, 0.00000, 0.499195, 0.241767
425, 0.00000, 0.596207, 0.288745
426, 0.00000, 0.499199, 0.241758
427, 0.00000, 0.136475, 0.0660966
428, 0.00000, -0.1697, -0.0821959
429, 0.00000, -0.357127, -0.17298
430, 0.00000, -0.464847, -0.225156
431, 0.00000, -0.527684, -0.255594
432, 0.00000, -0.989889, -0.479568
433, 0.00000, -1.29494, -0.553203
434, 0.00000, -0.717215, -0.298312
435, 0.00000, -0.0377117, 0.000240988
436, 0.00000, 0.462125, 0.223825
437, 0.00000, 0.658698, 0.319011
438, 0.00000, 0.767237, 0.371563
439, 0.00000, 0.633011, 0.306552
440, 0.00000, 0.448472, 0.21719
441, 0.00000, 0.262568, 0.127164
442, 0.00000, 0.125609, 0.0608346
443, 0.00000, 0.0752948, 0.0364666
444, 0.00000, 0.075453, 0.0365433
445, 0.00000, 0.0835168, 0.0404487
446, 0.00000, 0.140997, 0.0682869
447, 0.00000, 0.296364, 0.143532
448, 0.00000, 0.499195, 0.241767
449, 0.00000, 0.596207, 0.288745
450, 0.00000, 0.499199, 0.241758
451, 0.00000, 0.136475, 0.0660966
452, 0.00000, -0.1697, -0.0821959
453, 0.00000, -0.357127, -0.17298
454, 0.00000, -0.464847, -0.225156
455, 0.00000, -0.527684, -0.255594
456, 0.00000, -0.566491, -0.264098
457, 0.00000, -1.2921, -0.551982
458, 0.00000, -0.717212, -0.298326
459, 0.00000, -0.0377117, 0.000240988
460, 0.00000, 0.462125, 0.223825
461, 0.00000, 0.658698, 0.319011
462, 0.00000, 0.767237, 0.371563
463, 0.00000, 0.633011, 0.306552
464, 0.00000, 0.448472, 0.21719
465, 0.00000, 0.262568, 0.127164
466, 0.00000, 0.125609, 0.0608346
467, 0.00000, 0.0752948, 0.0364666
468, 0.00000, 0.075453, 0.0365433
469, 0.00000, 0.0835168, 0.0404487
470, 0.00000, 0.140997, 0.0682869
471, 0.00000, 0.296364, 0.143532
472, 0.00000, 0.499195, 0.241767
473, 0.00000, 0.596207, 0.288745
474, 0.00000, 0.499199, 0.241758
475, 0.00000, 0.150691, 0.0671187
476, 0.00000, 0.16677, 0.0742804
477, 0.00000, 0.281241, 0.125266
478, 0.00000, 0.58939, 0.262527
479, 0.00000, 0.988889, 0.440508
480, 0.00000, 1.17885, 0.525085
481, 0.00000, 0.988922, 0.440409
482, 0.00000, 0.136475, 0.0660966
483, 0.00000, -0.1697, -0.0821959
484, 0.00000, -0.357127, -0.17298
485, 0.00000, -0.464847, -0.225156
486, 0.00000, -0.527684, -0.255594
487, 0.00000, -0.559353, -0.261565
488, 0.00000, -0.922095, -0.372711
489, 0.00000, -0.717211, -0.29832
490, 0.00000, -0.0377117, 0.000240988
491, 0.00000, 0.462125, 0.223825
492, 0.00000, 0.658698, 0.319011
493, 0.00000, 0.767237, 0.371563
494, 0.00000, 0.633011, 0.306552
495, 0.00000, 0.448472, 0.21719
496, 0.00000, 0.262568, 0.127164
497, 0.00000, 0.125609, 0.0608346
498, 0.00000, 0.0752948, 0.0364666
499, 0.00000, 0.075453, 0.0365433
500, 0.00000, 0.0835168, 0.0404487
501, 0.00000, 0.140997, 0.0682869
502, 0.00000, 0.296364, 0.143532
503, 0.00000, 0.499195, 0.241767
504, 0.00000, 0.596207, 0.288745
505, 0.00000, 0.499199, 0.241758
506, 0.00000, 0.136475, 0.0660966
507, 0.00000, -0.1697, -0.0821959
508, 0.00000, -0.357127, -0.17298
509, 0.00000, -0.464847, -0.225156
510, 0.00000, -0.527684, -0.255594
511, 0.00000, -0.989889, -0.479568
512, 0.00000, -1.29494, -0.553203
513, 0.00000, -0.717215, -0.298312
514, 0.00000, -0.0377117, 0.000240988
515, 0.00000, 0.462125, 0.223825
516, 0.00000, 0.658698, 0.319011
517, 0.00000, 0.767237, 0.371563
518, 0.00000, 0.633011, 0.306552
519, 0.00000, 0.448472, 0.21719
520, 0.00000, 0.262568, 0.127164
521, 0.00000, 0.125609, 0.0608346
522, 0.00000, 0.0752948, 0.0364666
523, 0.00000, 0.075453, 0.0365433
524, 0.00000, 0.0835168, 0.0404487
525, 0.00000, 0.140997, 0.0682869
526, 0.00000, 0.296364, 0.143532
527, 0.00000, 0.499195, 0.241767
528, 0.00000, 0.596207, 0.288745
529, 0.00000, 0.499199, 0.241758
530, 0.00000, 0.136475, 0.0660966
531, 0.00000, -0.1697, -0.0821959
532, 0.00000, -0.357127, -0.17298
533, 0.00000, -0.464847, -0.225156
534, 0.00000, -0.527684, -0.255594
535, 0.00000, -0.566491, -0.264098
536, 0.00000, -1.2921, -0.551982
537, 0.00000, -0.717212, -0.298326
538, 0.00000, -0.0377117, 0.000240988
539, 0.00000, 0.462125, 0.223825
540, 0.00000, 0.658698, 0.319011
541, 0.00000, 0.767237, 0.371563
542, 0.00000, 0.633011, 0.306552
543, 0.00000, 0.448472, 0.21719
544, 0.00000, 0.262568, 0.127164
545, 0.00000, 0.125609, 0.0608346
546, 0.00000, 0.0752948, 0.0364666
547, 0.00000, 0.075453, 0.0365433
548, 0.00000, 0.0835168, 0.0404487
549, 0.00000, 0.140997, 0.0682869
550, 0.00000, 0.296364, 0.143532
551, 0.00000, 0.499195, 0.241767
552, 0.00000, 0.596207, 0.288745
553, 0.00000, 0.499199, 0.241758
554, 0.00000, 0.150691, 0.0671187
555, 0.00000, 0.16677, 0.0742804
556, 0.00000, 0.281241, 0.125266
557, 0.00000, 0.58939, 0.262527
558, 0.00000, 0.988889, 0.440508
559, 0.00000, 1.17885, 0.525085
560, 0.00000, 0.988922, 0.440409
561, 0.00000, 0.136475, 0.0660966
562, 0.00000, -0.1697, -0.0821959
563, 0.00000, -0.357127, -0.17298
564, 0.00000, -0.464847, -0.225156
565, 0.00000, -0.527684, -0.255594
566, 0.00000, -0.559353, -0.261565
567, 0.00000, -0.922095, -0.372711
568, 0.00000, -0.717211, -0.29832
569, 0.00000, -0.0377117, 0.000240988
570, 0.00000, 0.462125, 0.223825
571, 0.00000, 0.658698, 0.319011
572, 0.00000, 0.767237, 0.371563
573, 0.00000, 0.633011, 0.306552
574, 0.00000, 0.448472, 0.21719
575, 0.00000, 0.262568, 0.127164
576, 0.00000, 0.125609, 0.0608346
577, 0.00000, 0.0752948, 0.0364666
578, 0.00000, 0.075453, 0.0365433
579, 0.00000, 0.0835168, 0.0404487
580, 0.00000, 0.140997, 0.0682869
581, 0.00000, 0.296364, 0.143532
582, 0.00000, 0.499195, 0.241767
583, 0.00000, 0.596207, 0.288745
584, 0.00000, 0.499199, 0.241758
585, 0.00000, 0.136475, 0.0660966
586, 0.00000, -0.1697, -0.0821959
587, 0.00000, -0.357127, -0.17298
588, 0.00000, -0.464847, -0.225156
589, 0.00000, -0.527684, -0.255594
590, 0.00000, -0.989889, -0.479568
591, 0.00000, -1.29494, -0.553203
592, 0.00000, -0.717215, -0.298312
593, 0.00000, -0.0377117, 0.000240988
594, 0.00000, 0.462125, 0.223825
595, 0.00000, 0.658698, 0.319011
596, 0.00000, 0.767237, 0.371563
597, 0.00000, 0.633011, 0.306552
598, 0.00000, 0.448472, 0.21719
599, 0.00000, 0.262568, 0.127164
600, 0.00000, 0.125609, 0.0608346
601, 0.00000, 0.0752948, 0.0364666
602, 0.00000, 0.075453, 0.0365433
603, 0.00000, 0.0835168, 0.0404487
604, 0.00000, 0.140997, 0.0682869
605, 0.00000, 0.296364, 0.143532
606, 0.00000, 0.499195, 0.241767
607, 0.00000, 0.596207, 0.288745
608, 0.00000, 0.499199, 0.241758
609, 0.00000, 0.136475, 0.0660966
610, 0.00000, -0.1697, -0.0821959
611, 0.00000, -0.357127, -0.17298
612, 0.00000, -0.464847, -0.225156
613, 0.00000, -0.527684, -0.255594
614, 0.00000, -0.566491, -0.264098
615, 0.00000, -1.2921, -0.551982
616, 0.00000, -0.717212, -0.298326
617, 0.00000, -0.0377117, 0.000240988
618, 0.00000, 0.462125, 0.223825
619, 0.00000, 0.658698, 0.319011
620, 0.00000, 0.767237, 0.371563
621, 0.00000, 0.633011, 0.306552
622, 0.00000, 0.448472, 0.21719
623, 0.00000, 0.262568, 0.127164
624, 0.00000, 0.125609, 0.0608346
625, 0.00000, 0.0752948, 0.0364666
626, 0.00000, 0.075453, 0.0365433
627, 0.00000, 0.0835168, 0.0404487
628, 0.00000, 0.140997, 0.0682869
629, 0.00000, 0.296364, 0.143532
630, 0.00000, 0.499195, 0.241767
631, 0.00000, 0.596207, 0.288745
632, 0.00000, 0.499199, 0.241758
633, 0.00000, 0.150691, 0.0671187
634, 0.00000, 0.16677, 0.0742804
635, 0.00000, 0.281241, 0.125266
636, 0.00000, 0.58939, 0.262527
637, 0.00000, 0.988889, 0.440508
638, 0.00000, 1.17885, 0.525085
639, 0.00000, 0.988922, 0.440409
640, 0.00000, 0.136475, 0.0660966
641, 0.00000, -0.1697, -0.0821959
642, 0.00000, -0.357127, -0.17298
643, 0.00000, -0.464847, -0.225156
644, 0.00000, -0.527684, -0.255594
645, 0.00000, -0.559353, -0.261565
646, 0.00000, -0.922095, -0.372711
647, 0.00000, -0.717211, -0.29832
648, 0.00000, -0.0377117, 0.000240988
649, 0.00000, 0.462125, 0.223825
650, 0.00000, 0.658698, 0.319011
651, 0.00000, 0.767237, 0.371563
652, 0.00000, 0.633011, 0.306552
653, 0.00000, 0.448472, 0.21719
654, 0.00000, 0.262568, 0.127164
655, 0.00000, 0.125609, 0.0608346
656, 0.00000, 0.0752948, 0.0364666
657, 0.00000, 0.075453, 0.0365433
658, 0.00000, 0.0835168, 0.0404487
659, 0.00000, 0.140997, 0.0682869
660, 0.00000, 0.296364, 0.143532
661, 0.00000, 0.499195, 0.241767
662, 0.00000, 0.596207, 0.288745
663, 0.00000, 0.499199, 0.241758
664, 0.00000, 0.136475, 0.0660966
665, 0.00000, -0.1697, -0.0821959
666, 0.00000, -0.357127, -0.17298
667, 0.00000, -0.464847, -0.225156
668, 0.00000, -0.527684, -0.255594
669, 0.00000, -0.989889, -0.479568
670, 0.00000, -1.29494, -0.553203
671, 0.00000, -0.717215, -0.298312
672, 0.00000, -0.0377117, 0.000240988
673, 0.00000, 0.462125, 0.223825
674, 0.00000, 0.658698, 0.319011
675, 0.00000, 0.767237, 0.371563
676, 0.00000, 0.633011, 0.306552
677, 0.00000, 0.448472, 0.21719
678, 0.00000, 0.262568, 0.127164
679, 0.00000, 0.125609, 0.0608346
